OBJECTID,ID,DIFICULTAD,FECHA,LONGITUD,TIPO
1,GR1301,Media,23-08-2008,10.7,GR
2,GR1302,Alta,26-07-2008,20.9,GR
3,GR1303,Alta,18-07-2008,28.5,GR
4,GR1304,Alta,15-08-2008,24.5,GR
5,GR1305,Media,15-06-2008,13.1,GR
6,GR1306,Media,10-05-2008,21.8,GR
7,GR1307,Media,21-08-2008,15,GR
8,GR1308,Media,28-05-2008,11.4,GR
9,GR1311,Extrema,17-05-2008,16.9,GR
11,GR1313,Media,02-07-2008,23.7,GR
12,PRLP0100,Alta,24-05-2008,23.6,PR
13,PRLP0200,Extrema,13-07-2008,8.52,PR
14,PRLP0210,Extrema,13-07-2008,4.89,PR
15,PRLP0220,Media,20-08-2008,5.75,PR
16,PRLP1310,Alta,25-08-2008,15,PR
17,PRLP0300,Alta,07-08-2008,13.6,PR
18,PRLP0310,Baja,09-08-2008,4.46,PR
19,PRLP0320,Baja,09-08-2008,8.07,PR
20,PRLP0400,Media,07-08-2008,10.5,PR
21,PRLP0410,Baja,13-08-2008,6.24,PR
22,PRLP0600,Alta,09-08-2008,16.8,PR
23,PRLP1700,Media,07-06-2008,14,PR
24,PRLP0710,Media,08-08-2008,8.77,PR
25,PRLP0800,Media,07-06-2008,11.6,PR
26,PRLP0900,Alta,21-06-2008,19.7,PR
27,PRLP0910,Alta,03-05-2008,17,PR
28,PRLP0920,Alta,19-08-2008,11.4,PR
29,PRLP1000,Extrema,12-07-2008,26.8,PR
30,PRLP1100,Media,20-04-2008,11.9,PR
31,PRLP1200,Media,20-04-2008,12.8,PR
32,PRLP1210,Baja,23-07-2008,5.29,PR
33,PRLP1220,Alta,23-07-2008,9.71,PR
34,PRLP1310,Alta,25-08-2008,13,PR
35,PRLP1330,Alta,30-03-2008,11.4,PR
36,PRLP1400,Baja,10-07-2008,6.79,PR
37,PRLP1410,Media,22-03-2008,7.76,PR
38,PRLP1500,Alta,02-04-2008,16.7,PR
39,PRLP1600,Alta,31-07-2008,13.5,PR
40,PRLP1610,Baja,30-07-2008,7.35,PR
41,PRLP1700,Media,06-04-2008,10.3,PR
42,PRLP1800,Alta,06-04-2008,12.9,PR
43,PRLP1810,Media,28-03-2008,7.84,PR
44,PRLP1820,Baja,30-07-2008,6.09,PR
45,PRLP1900,Baja,15-04-2008,5.98,PR
46,GR13010,Baja,15-08-2008,1.55,GR
47,PRLP0230,Alta,22-08-2008,10.4,PR
48,PRLP0510,Baja,14-08-2008,7.04,PR
49,PRLP1300,Alta,30-05-2008,23.1,PR
52,GR1312,Alta,17-05-2008,26.1,GR
